occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill
37-3011,Landscaping and Groundskeeping Workers,4360.0,1.08,39940.0,Landscaping and Groundskeeping Workers,0.0,952640,42290.0,Building & Grounds,0.0,174138400.0
37-3013,Tree Trimmers and Pruners,170.0,0.73,47320.0,Tree Trimmers and Pruners,0.0,55160,55970.0,Building & Grounds,0.0,8044400.0
39-2011,Animal Trainers,110.0,1.36,60200.0,Animal Trainers,0.0,18770,47020.0,Personal Care & Service,0.0,6622000.0
39-2021,Animal Caretakers,1540.0,1.35,35130.0,Animal Caretakers,0.0,266910,37300.0,Personal Care & Service,0.0,54100200.0
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",580.0,1.12,28700.0,"Ushers, Lobby Attendants, and Ticket Takers",0.0,121770,33080.0,Personal Care & Service,0.0,16646000.0
39-4021,Funeral Attendants,230.0,1.73,35000.0,Funeral Attendants,0.0,31090,37190.0,Personal Care & Service,0.0,8050000.0
35-2015,"Cooks, Short Order",300.0,0.52,31870.0,"Cooks, Short Order",0.0,138650,36120.0,Food Preparation & Serving,0.0,9561000.0
35-2021,Food Preparation Workers,2890.0,0.76,34120.0,Food Preparation Workers,0.0,893600,35290.0,Food Preparation & Serving,0.0,98606800.0
35-3011,Bartenders,2110.0,0.66,51750.0,Bartenders,0.0,756390,40790.0,Food Preparation & Serving,0.0,109192500.0
35-3023,Fast Food and Counter Workers,17100.0,1.04,31080.0,Fast Food and Counter Workers,0.0,3854050,32150.0,Food Preparation & Serving,0.0,531468000.0
35-3031,Waiters and Waitresses,9120.0,0.95,45010.0,Waiters and Waitresses,0.0,2270910,40060.0,Food Preparation & Serving,0.0,410491200.0
35-3041,"Food Servers, Nonrestaurant",1250.0,1.0,35250.0,"Food Servers, Nonrestaurant",0.0,293900,36140.0,Food Preparation & Serving,0.0,44062500.0
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1790.0,0.78,33680.0,Dining Room and Cafeteria Attendants and Bartender Helpers,0.0,542750,34230.0,Food Preparation & Serving,0.0,60287200.0
35-9021,Dishwashers,1980.0,0.98,32710.0,Dishwashers,0.0,477450,34310.0,Food Preparation & Serving,0.0,64765800.0
19-1041,Epidemiologists,100.0,1.87,85290.0,Epidemiologists,0.0,12090,97890.0,"Life, Physical & Social Science",0.0,8529000.0
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",390.0,0.54,47390.0,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,171200,48430.0,Production,0.0,18482100.0
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",200.0,1.18,37770.0,"Sawing Machine Setters, Operators, and Tenders, Wood",0.0,40850,43580.0,Production,0.0,7554000.0
51-7011,Cabinetmakers and Bench Carpenters,290.0,0.88,48150.0,Cabinetmakers and Bench Carpenters,0.0,77170,48290.0,Production,0.0,13963500.0
19-3039,"Psychologists, All Other",90.0,1.13,137830.0,"Psychologists, All Other",0.0,18820,111210.0,"Life, Physical & Social Science",0.0,12404700.0
51-6093,Upholsterers,60.0,0.69,45360.0,Upholsterers,0.0,20140,47340.0,Production,0.0,2721600.0
19-4051,Nuclear Technicians,60.0,2.13,122440.0,Nuclear Technicians,0.0,6470,108940.0,"Life, Physical & Social Science",0.0,7346400.0
51-6031,Sewing Machine Operators,210.0,0.48,37730.0,Sewing Machine Operators,0.0,104880,37600.0,Production,0.0,7923300.0
17-3026,Industrial Engineering Technologists and Technicians,170.0,0.54,65350.0,Industrial Engineering Technologists and Technicians,0.0,75570,70700.0,Architecture & Engineering,0.0,11109500.0
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",100.0,0.41,76680.0,"Engineering Technologists and Technicians, Except Drafters, All Other",0.0,59930,80960.0,Architecture & Engineering,0.0,7668000.0
17-3031,Surveying and Mapping Technicians,450.0,1.83,60310.0,Surveying and Mapping Technicians,0.0,58010,58000.0,Architecture & Engineering,0.0,27139500.0
51-6011,Laundry and Dry-Cleaning Workers,1010.0,1.2,32420.0,Laundry and Dry-Cleaning Workers,0.0,198040,34920.0,Production,0.0,32744200.0
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",40.0,0.32,50880.0,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.0,31600,50220.0,Production,0.0,2035200.0
51-5112,Printing Press Operators,650.0,1.07,44830.0,Printing Press Operators,0.0,144260,47360.0,Production,0.0,29139500.0
19-1031,Conservation Scientists,60.0,0.57,77390.0,Conservation Scientists,0.0,25950,77130.0,"Life, Physical & Social Science",0.0,4643400.0
19-1032,Foresters,70.0,1.49,70970.0,Foresters,0.0,10430,79170.0,"Life, Physical & Social Science",0.0,4967900.0
25-1065,"Political Science Teachers, Postsecondary",160.0,2.17,105960.0,"Political Science Teachers, Postsecondary",0.0,16970,108100.0,Education & Library,0.0,16953600.0
25-1067,"Sociology Teachers, Postsecondary",50.0,0.94,89280.0,"Sociology Teachers, Postsecondary",0.0,11850,96980.0,Education & Library,0.0,4464000.0
39-9031,Exercise Trainers and Group Fitness Instructors,2000.0,1.46,44280.0,Exercise Trainers and Group Fitness Instructors,0.0,322930,52420.0,Personal Care & Service,0.0,88560000.0
39-9032,Recreation Workers,1320.0,0.94,37350.0,Recreation Workers,0.0,331490,38520.0,Personal Care & Service,0.0,49302000.0
41-2022,Parts Salespersons,1320.0,1.15,43780.0,Parts Salespersons,0.0,270070,43830.0,Sales,0.0,57789600.0
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",60.0,0.94,52640.0,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.0,14000,50450.0,Production,0.0,3158400.0
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,40.0,0.66,82290.0,Electro-Mechanical and Mechatronics Technologists and Technicians,0.0,15520,76420.0,Architecture & Engineering,0.0,3291600.0
53-7011,Conveyor Operators and Tenders,150.0,1.58,41820.0,Conveyor Operators and Tenders,0.0,22930,45080.0,Transportation & Material Moving,0.0,6273000.0
21-1023,Mental Health and Substance Abuse Social Workers,740.0,1.31,67380.0,Mental Health and Substance Abuse Social Workers,0.0,132810,68030.0,Community & Social Service,0.0,49861200.0
21-1092,Probation Officers and Correctional Treatment Specialists,510.0,1.35,60570.0,Probation Officers and Correctional Treatment Specialists,0.0,89390,73130.0,Community & Social Service,0.0,30890700.0
21-1093,Social and Human Service Assistants,2050.0,1.1,44190.0,Social and Human Service Assistants,0.0,437860,47690.0,Community & Social Service,0.0,90589500.0
53-6051,Transportation Inspectors,60.0,0.55,88800.0,Transportation Inspectors,0.0,24500,88540.0,Transportation & Material Moving,0.0,5328000.0
53-6021,Parking Attendants,390.0,0.66,29660.0,Parking Attendants,0.0,137880,34990.0,Transportation & Material Moving,0.0,11567400.0
25-1054,"Physics Teachers, Postsecondary",50.0,0.95,101600.0,"Physics Teachers, Postsecondary",0.0,13090,111460.0,Education & Library,0.0,5080000.0
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",90.0,1.84,96680.0,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.0,11300,98330.0,Education & Library,0.0,8701200.0
25-1063,"Economics Teachers, Postsecondary",60.0,1.28,131740.0,"Economics Teachers, Postsecondary",0.0,11560,138850.0,Education & Library,0.0,7904400.0
47-2111,Electricians,3600.0,1.12,62360.0,Electricians,0.0,757220,71490.0,Construction & Extraction,0.0,224496000.0
47-2121,Glaziers,160.0,0.64,54650.0,Glaziers,0.0,58480,59720.0,Construction & Extraction,0.0,8744000.0
47-2141,"Painters, Construction and Maintenance",1010.0,1.05,47810.0,"Painters, Construction and Maintenance",0.0,225190,55420.0,Construction & Extraction,0.0,48288100.0
47-2151,Pipelayers,240.0,1.74,50340.0,Pipelayers,0.0,33050,54700.0,Construction & Extraction,0.0,12081600.0
51-8031,Water and Wastewater Treatment Plant and System Operators,380.0,0.69,59800.0,Water and Wastewater Treatment Plant and System Operators,0.0,128490,62540.0,Production,0.0,22724000.0
47-2211,Sheet Metal Workers,610.0,1.2,52490.0,Sheet Metal Workers,0.0,119770,67850.0,Construction & Extraction,0.0,32018900.0
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",90.0,1.48,40060.0,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.0,14170,50920.0,Construction & Extraction,0.0,3605400.0
47-3012,Helpers--Carpenters,280.0,3.02,43720.0,Helpers--Carpenters,0.0,21680,44050.0,Construction & Extraction,0.0,12241600.0
45-4022,Logging Equipment Operators,80.0,0.88,45830.0,Logging Equipment Operators,0.0,21060,53190.0,"Farming, Fishing & Forestry",0.0,3666400.0
47-2021,Brickmasons and Blockmasons,430.0,1.93,52560.0,Brickmasons and Blockmasons,0.0,52550,68280.0,Construction & Extraction,0.0,22600800.0
47-2031,Carpenters,3070.0,1.08,53520.0,Carpenters,0.0,670090,65630.0,Construction & Extraction,0.0,164306400.0
47-2044,Tile and Stone Setters,120.0,0.77,51430.0,Tile and Stone Setters,0.0,35850,59250.0,Construction & Extraction,0.0,6171600.0
47-2051,Cement Masons and Concrete Finishers,630.0,0.72,49180.0,Cement Masons and Concrete Finishers,0.0,206170,60050.0,Construction & Extraction,0.0,30983400.0
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",250.0,1.42,50500.0,"Paving, Surfacing, and Tamping Equipment Operators",0.0,41820,59000.0,Construction & Extraction,0.0,12625000.0
47-2073,Operating Engineers and Other Construction Equipment Operators,2220.0,1.09,56620.0,Operating Engineers and Other Construction Equipment Operators,0.0,478090,66290.0,Construction & Extraction,0.0,125696400.0
47-2081,Drywall and Ceiling Tile Installers,360.0,1.01,52120.0,Drywall and Ceiling Tile Installers,0.0,83080,63600.0,Construction & Extraction,0.0,18763200.0
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",280.0,1.24,46690.0,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.0,53300,47630.0,Office & Administrative Support,0.0,13073200.0
43-6012,Legal Secretaries and Administrative Assistants,560.0,0.84,68480.0,Legal Secretaries and Administrative Assistants,0.0,156280,60620.0,Office & Administrative Support,0.0,38348800.0
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",360.0,1.53,38630.0,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.0,55230,41650.0,Office & Administrative Support,0.0,13906800.0
51-8021,Stationary Engineers and Boiler Operators,60.0,0.54,68880.0,Stationary Engineers and Boiler Operators,0.0,28250,83960.0,Production,0.0,4132800.0
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",120.0,0.99,62450.0,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.0,27960,62730.0,"Farming, Fishing & Forestry",0.0,7494000.0
51-8012,Power Distributors and Dispatchers,90.0,2.38,95450.0,Power Distributors and Dispatchers,0.0,8520,111320.0,Production,0.0,8590500.0
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",40.0,0.32,51280.0,"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.0,32810,39260.0,"Farming, Fishing & Forestry",0.0,2051200.0
45-4021,Fallers,40.0,2.69,44420.0,Fallers,0.0,3130,57110.0,"Farming, Fishing & Forestry",0.0,1776800.0
19-4092,Forensic Science Technicians,140.0,1.76,79550.0,Forensic Science Technicians,0.0,19120,79200.0,"Life, Physical & Social Science",0.0,11137000.0
43-4141,New Accounts Clerks,70.0,0.47,49680.0,New Accounts Clerks,0.0,36860,49370.0,Office & Administrative Support,0.0,3477600.0
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",160.0,0.63,38020.0,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.0,61420,43570.0,Production,0.0,6083200.0
43-5041,"Meter Readers, Utilities",80.0,1.02,44320.0,"Meter Readers, Utilities",0.0,19430,55380.0,Office & Administrative Support,0.0,3545600.0
43-5051,Postal Service Clerks,250.0,0.8,62910.0,Postal Service Clerks,0.0,73720,61860.0,Office & Administrative Support,0.0,15727500.0
43-5052,Postal Service Mail Carriers,1200.0,0.86,62450.0,Postal Service Mail Carriers,0.0,328820,62540.0,Office & Administrative Support,0.0,74940000.0
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",1090.0,2.43,56630.0,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.0,105200,59430.0,Office & Administrative Support,0.0,61726700.0
43-5071,"Shipping, Receiving, and Inventory Clerks",4420.0,1.28,45020.0,"Shipping, Receiving, and Inventory Clerks",0.0,816870,46810.0,Office & Administrative Support,0.0,198988400.0
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",210.0,0.78,69810.0,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.0,65010,75570.0,Installation & Repair,0.0,14660100.0
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",180.0,2.06,94990.0,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.0,20720,100760.0,Installation & Repair,0.0,17098200.0
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",110.0,3.14,45470.0,"Electronic Equipment Installers and Repairers, Motor Vehicles",0.0,8550,51560.0,Installation & Repair,0.0,5001700.0
49-2097,Audiovisual Equipment Installers and Repairers,70.0,0.82,51650.0,Audiovisual Equipment Installers and Repairers,0.0,19780,57930.0,Installation & Repair,0.0,3615500.0
49-3011,Aircraft Mechanics and Service Technicians,140.0,0.24,75340.0,Aircraft Mechanics and Service Technicians,0.0,138090,84740.0,Installation & Repair,0.0,10547600.0
49-3021,Automotive Body and Related Repairers,600.0,0.95,65560.0,Automotive Body and Related Repairers,0.0,149310,59690.0,Installation & Repair,0.0,39336000.0
49-3023,Automotive Service Technicians and Mechanics,2930.0,0.98,61160.0,Automotive Service Technicians and Mechanics,0.0,704640,56420.0,Installation & Repair,0.0,179198800.0
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,1400.0,1.14,61740.0,Bus and Truck Mechanics and Diesel Engine Specialists,0.0,289960,64320.0,Installation & Repair,0.0,86436000.0
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",50.0,0.52,103700.0,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.0,21450,119770.0,Architecture & Engineering,0.0,5185000.0
17-2131,Materials Engineers,200.0,2.07,113740.0,Materials Engineers,0.0,22770,120250.0,Architecture & Engineering,0.0,22748000.0
17-2161,Nuclear Engineers,350.0,5.4,146900.0,Nuclear Engineers,0.0,15280,140420.0,Architecture & Engineering,0.0,51415000.0
17-3011,Architectural and Civil Drafters,380.0,0.86,66890.0,Architectural and Civil Drafters,0.0,103700,70740.0,Architecture & Engineering,0.0,25418200.0
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",180.0,0.87,75450.0,"Control and Valve Installers and Repairers, Except Mechanical Door",0.0,48240,76210.0,Installation & Repair,0.0,13581000.0
17-3013,Mechanical Drafters,100.0,0.6,72920.0,Mechanical Drafters,0.0,39960,75060.0,Architecture & Engineering,0.0,7292000.0
13-1051,Cost Estimators,1080.0,1.14,78880.0,Cost Estimators,0.0,224220,85390.0,Business & Financial,0.0,85190400.0
13-1075,Labor Relations Specialists,250.0,0.89,97490.0,Labor Relations Specialists,0.0,64810,98720.0,Business & Financial,0.0,24372500.0
49-2092,"Electric Motor, Power Tool, and Related Repairers",70.0,1.1,57100.0,"Electric Motor, Power Tool, and Related Repairers",0.0,14450,58610.0,Installation & Repair,0.0,3997000.0
53-7065,Stockers and Order Fillers,12300.0,1.02,38260.0,Stockers and Order Fillers,0.0,2833810,39540.0,Transportation & Material Moving,0.0,470598000.0
17-1012,Landscape Architects,60.0,0.7,91160.0,Landscape Architects,0.0,19600,88780.0,Architecture & Engineering,0.0,5469600.0
53-7064,"Packers and Packagers, Hand",1530.0,0.65,35630.0,"Packers and Packagers, Hand",0.0,559820,37540.0,Transportation & Material Moving,0.0,54513900.0
53-7063,Machine Feeders and Offbearers,300.0,1.64,41250.0,Machine Feeders and Offbearers,0.0,42330,43660.0,Transportation & Material Moving,0.0,12375000.0
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",10550.0,0.84,42130.0,"Laborers and Freight, Stock, and Material Movers, Hand",0.0,2950280,42260.0,Transportation & Material Moving,0.0,444471500.0
17-2041,Chemical Engineers,60.0,0.69,119540.0,Chemical Engineers,0.0,21070,129980.0,Architecture & Engineering,0.0,7172400.0
53-7061,Cleaners of Vehicles and Equipment,1280.0,0.79,33970.0,Cleaners of Vehicles and Equipment,0.0,380430,36980.0,Transportation & Material Moving,0.0,43481600.0
47-3013,Helpers--Electricians,410.0,1.53,43850.0,Helpers--Electricians,0.0,63630,44080.0,Construction & Extraction,0.0,17978500.0
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",370.0,1.94,40330.0,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",0.0,44330,43730.0,Construction & Extraction,0.0,14922100.0
47-4021,Elevator and Escalator Installers and Repairers,90.0,0.9,104620.0,Elevator and Escalator Installers and Repairers,0.0,23790,109820.0,Construction & Extraction,0.0,9415800.0
47-4041,Hazardous Materials Removal Workers,250.0,1.12,44950.0,Hazardous Materials Removal Workers,0.0,51710,56430.0,Construction & Extraction,0.0,11237500.0
47-4051,Highway Maintenance Workers,390.0,0.59,53350.0,Highway Maintenance Workers,0.0,154960,53080.0,Construction & Extraction,0.0,20806500.0
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",140.0,0.93,55700.0,"Excavating and Loading Machine and Dragline Operators, Surface Mining",0.0,34480,59930.0,Construction & Extraction,0.0,7798000.0
47-5023,"Earth Drillers, Except Oil and Gas",70.0,0.81,56340.0,"Earth Drillers, Except Oil and Gas",0.0,19450,62830.0,Construction & Extraction,0.0,3943800.0
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",50.0,1.0,72940.0,"Radio, Cellular, and Tower Equipment Installers and Repairers",0.0,11140,69870.0,Installation & Repair,0.0,3647000.0
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",70.0,1.31,41050.0,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.0,12630,36210.0,Transportation & Material Moving,0.0,2873500.0
53-3032,Heavy and Tractor-Trailer Truck Drivers,11760.0,1.34,60130.0,Heavy and Tractor-Trailer Truck Drivers,0.0,2062040,59710.0,Transportation & Material Moving,0.0,707128800.0
53-3033,Light Truck Drivers,4790.0,1.15,44220.0,Light Truck Drivers,0.0,983300,48770.0,Transportation & Material Moving,0.0,211813800.0
53-3051,"Bus Drivers, School",2070.0,1.21,49290.0,"Bus Drivers, School",0.0,402930,48430.0,Transportation & Material Moving,0.0,102030300.0
53-3052,"Bus Drivers, Transit and Intercity",470.0,0.7,55820.0,"Bus Drivers, Transit and Intercity",0.0,159240,60280.0,Transportation & Material Moving,0.0,26235400.0
53-3053,Shuttle Drivers and Chauffeurs,1650.0,1.57,40110.0,Shuttle Drivers and Chauffeurs,0.0,248530,39880.0,Transportation & Material Moving,0.0,66181500.0
29-1124,Radiation Therapists,80.0,1.04,106950.0,Radiation Therapists,0.0,17070,114990.0,Healthcare Practitioners,0.0,8556000.0
11-3121,Human Resources Managers,960.0,1.02,163900.0,Human Resources Managers,0.0,220660,164230.0,Management,0.0,157344000.0
53-7051,Industrial Truck and Tractor Operators,5150.0,1.56,48530.0,Industrial Truck and Tractor Operators,0.0,774420,48370.0,Transportation & Material Moving,0.0,249929500.0
53-7021,Crane and Tower Operators,170.0,0.91,61080.0,Crane and Tower Operators,0.0,42890,72130.0,Transportation & Material Moving,0.0,10383600.0
51-9191,Adhesive Bonding Machine Operators and Tenders,70.0,1.53,44770.0,Adhesive Bonding Machine Operators and Tenders,0.0,11500,46850.0,Production,0.0,3133900.0
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",140.0,1.03,45100.0,"Molders, Shapers, and Casters, Except Metal and Plastic",0.0,33190,47500.0,Production,0.0,6314000.0
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",930.0,2.29,53890.0,"Paper Goods Machine Setters, Operators, and Tenders",0.0,96130,52840.0,Production,0.0,50117700.0
53-2011,"Airline Pilots, Copilots, and Flight Engineers",50.0,0.11,151870.0,"Airline Pilots, Copilots, and Flight Engineers",0.0,103560,288650.0,Transportation & Material Moving,0.0,7593500.0
53-2012,Commercial Pilots,120.0,0.59,137100.0,Commercial Pilots,0.0,47630,146080.0,Transportation & Material Moving,0.0,16452000.0
11-3111,Compensation and Benefits Managers,130.0,1.36,175500.0,Compensation and Benefits Managers,0.0,22940,162640.0,Management,0.0,22815000.0
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",290.0,1.16,48500.0,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.0,58770,47260.0,Production,0.0,14065000.0
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",50.0,0.84,50460.0,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.0,14280,50940.0,Production,0.0,2523000.0
51-9071,Jewelers and Precious Stone and Metal Workers,70.0,0.69,58970.0,Jewelers and Precious Stone and Metal Workers,0.0,22440,57960.0,Production,0.0,4127900.0
51-9081,Dental Laboratory Technicians,150.0,1.04,52520.0,Dental Laboratory Technicians,0.0,34410,54290.0,Production,0.0,7878000.0
51-9082,Medical Appliance Technicians,60.0,1.34,57880.0,Medical Appliance Technicians,0.0,11280,52730.0,Production,0.0,3472800.0
51-9111,Packaging and Filling Machine Operators and Tenders,1340.0,0.83,47120.0,Packaging and Filling Machine Operators and Tenders,0.0,379060,44590.0,Production,0.0,63140800.0
51-9123,"Painting, Coating, and Decorating Workers",50.0,1.57,48760.0,"Painting, Coating, and Decorating Workers",0.0,7940,45210.0,Production,0.0,2438000.0
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",440.0,0.65,52900.0,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.0,158740,52620.0,Production,0.0,23276000.0
11-3012,Administrative Services Managers,570.0,0.51,125250.0,Administrative Services Managers,0.0,263960,129870.0,Management,0.0,71392500.0
51-8091,Chemical Plant and System Operators,340.0,4.83,72950.0,Chemical Plant and System Operators,0.0,16610,79970.0,Production,0.0,24803000.0
53-7081,Refuse and Recyclable Material Collectors,730.0,1.17,47760.0,Refuse and Recyclable Material Collectors,0.0,147240,52820.0,Transportation & Material Moving,0.0,34864800.0
51-9011,Chemical Equipment Operators and Tenders,760.0,1.29,62590.0,Chemical Equipment Operators and Tenders,0.0,139630,60710.0,Production,0.0,47568400.0
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",230.0,0.91,57770.0,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.0,60100,56030.0,Production,0.0,13287100.0
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",220.0,2.06,49770.0,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,25250,53220.0,Production,0.0,10949400.0
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",270.0,0.67,51730.0,"Mixing and Blending Machine Setters, Operators, and Tenders",0.0,94920,52090.0,Production,0.0,13967100.0
11-9161,Emergency Management Directors,110.0,1.85,100860.0,Emergency Management Directors,0.0,13500,102420.0,Management,0.0,11094600.0
51-3011,Bakers,1450.0,1.44,34700.0,Bakers,0.0,236200,38480.0,Production,0.0,50315000.0
51-3021,Butchers and Meat Cutters,550.0,0.96,40540.0,Butchers and Meat Cutters,0.0,136430,42380.0,Production,0.0,22297000.0
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",210.0,0.35,36430.0,"Meat, Poultry, and Fish Cutters and Trimmers",0.0,145700,39280.0,Production,0.0,7650300.0
51-3092,Food Batchmakers,330.0,0.44,38530.0,Food Batchmakers,0.0,174520,43750.0,Production,0.0,12714900.0
51-3093,Food Cooking Machine Operators and Tenders,80.0,0.57,37320.0,Food Cooking Machine Operators and Tenders,0.0,31250,42570.0,Production,0.0,2985600.0
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",200.0,0.78,49280.0,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,60840,49480.0,Production,0.0,9856000.0
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",70.0,1.92,52780.0,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.0,8930,51680.0,Production,0.0,3694600.0
11-9131,Postmasters and Mail Superintendents,50.0,0.78,101560.0,Postmasters and Mail Superintendents,0.0,13810,97360.0,Management,0.0,5078000.0
49-9094,Locksmiths and Safe Repairers,90.0,1.35,55030.0,Locksmiths and Safe Repairers,0.0,15040,55470.0,Installation & Repair,0.0,4952700.0
49-9096,Riggers,100.0,1.02,61060.0,Riggers,0.0,22530,66810.0,Installation & Repair,0.0,6106000.0
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",550.0,1.36,41540.0,"Helpers--Installation, Maintenance, and Repair Workers",0.0,95580,41490.0,Installation & Repair,0.0,22847000.0
49-9099,"Installation, Maintenance, and Repair Workers, All Other",1000.0,1.34,48340.0,"Installation, Maintenance, and Repair Workers, All Other",0.0,176300,53850.0,Installation & Repair,0.0,48340000.0
51-1011,First-Line Supervisors of Production and Operating Workers,2210.0,0.77,77140.0,First-Line Supervisors of Production and Operating Workers,0.0,673430,76600.0,Production,0.0,170479400.0
51-2021,"Coil Winders, Tapers, and Finishers",60.0,1.18,59480.0,"Coil Winders, Tapers, and Finishers",0.0,12840,50470.0,Production,0.0,3568800.0
51-2031,Engine and Other Machine Assemblers,40.0,0.26,59390.0,Engine and Other Machine Assemblers,0.0,34000,57790.0,Production,0.0,2375600.0
51-2041,Structural Metal Fabricators and Fitters,200.0,0.92,55320.0,Structural Metal Fabricators and Fitters,0.0,52360,54030.0,Production,0.0,11064000.0
49-9031,Home Appliance Repairers,110.0,0.84,58000.0,Home Appliance Repairers,0.0,32150,56040.0,Installation & Repair,0.0,6380000.0
49-9043,"Maintenance Workers, Machinery",210.0,0.83,61380.0,"Maintenance Workers, Machinery",0.0,60020,64610.0,Installation & Repair,0.0,12889800.0
49-9044,Millwrights,150.0,0.9,54400.0,Millwrights,0.0,40330,69780.0,Installation & Repair,0.0,8160000.0
49-9051,Electrical Power-Line Installers and Repairers,490.0,0.89,78200.0,Electrical Power-Line Installers and Repairers,0.0,131070,91970.0,Installation & Repair,0.0,38318000.0
49-9052,Telecommunications Line Installers and Repairers,540.0,1.29,74100.0,Telecommunications Line Installers and Repairers,0.0,97720,73940.0,Installation & Repair,0.0,40014000.0
49-9062,Medical Equipment Repairers,260.0,0.94,68270.0,Medical Equipment Repairers,0.0,65990,65930.0,Installation & Repair,0.0,17750200.0
49-9071,"Maintenance and Repair Workers, General",5520.0,0.85,52520.0,"Maintenance and Repair Workers, General",0.0,1529700,53780.0,Installation & Repair,0.0,289910400.0
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",90.0,0.84,45090.0,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.0,26410,49770.0,Installation & Repair,0.0,4058100.0
49-3041,Farm Equipment Mechanics and Service Technicians,90.0,0.59,50810.0,Farm Equipment Mechanics and Service Technicians,0.0,37870,57290.0,Installation & Repair,0.0,4572900.0
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",930.0,1.24,65470.0,"Mobile Heavy Equipment Mechanics, Except Engines",0.0,176600,69240.0,Installation & Repair,0.0,60887100.0
