occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill
29-1171,Nurse Practitioners,1440.0,1.05,123420.0,Nurse Practitioners,0.0944,323040,137300.0,Healthcare Practitioners,135.936,177724800.0
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,4460.0,1.29,79030.0,First-Line Supervisors of Construction Trades and Extraction Workers,0.0296,812210,86450.0,Construction & Extraction,132.01600000000002,352473800.0
25-1121,"Art, Drama, and Music Teachers, Postsecondary",610.0,1.52,79690.0,"Art, Drama, and Music Teachers, Postsecondary",0.2142,93560,94700.0,Education & Library,130.662,48610900.0
47-2061,Construction Laborers,4560.0,0.98,42970.0,Construction Laborers,0.0281,1096780,52030.0,Construction & Extraction,128.136,195943200.0
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1680.0,0.91,32330.0,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.0734,432690,32690.0,Food Preparation & Serving,123.31200000000001,54314400.0
25-1011,"Business Teachers, Postsecondary",400.0,1.16,115140.0,"Business Teachers, Postsecondary",0.3072,82150,114720.0,Education & Library,122.88,46056000.0
29-1051,Pharmacists,1350.0,0.99,140220.0,Pharmacists,0.0896,321970,140920.0,Healthcare Practitioners,120.96,189297000.0
25-2058,"Special Education Teachers, Secondary School",1210.0,1.73,62700.0,"Special Education Teachers, Secondary School",0.0989,163930,77260.0,Education & Library,119.669,75867000.0
11-9111,Medical and Health Services Managers,1760.0,0.7,143730.0,Medical and Health Services Managers,0.0659,597080,140970.0,Management,115.984,252964800.0
43-5061,"Production, Planning, and Expediting Clerks",1230.0,0.74,61610.0,"Production, Planning, and Expediting Clerks",0.0934,390160,62150.0,Office & Administrative Support,114.88199999999999,75780300.0
19-4031,Chemical Technicians,360.0,1.47,55060.0,Chemical Technicians,0.3148,57540,63900.0,"Life, Physical & Social Science",113.328,19821600.0
39-3091,Amusement and Recreation Attendants,1700.0,1.01,31960.0,Amusement and Recreation Attendants,0.0619,397830,32640.0,Personal Care & Service,105.22999999999999,54332000.0
13-2054,Financial Risk Specialists,380.0,1.4,119620.0,Financial Risk Specialists,0.2649,63850,124420.0,Business & Financial,100.662,45455600.0
25-1022,"Mathematical Science Teachers, Postsecondary",230.0,1.11,89340.0,"Mathematical Science Teachers, Postsecondary",0.4305,47670,91550.0,Education & Library,99.015,20548200.0
