occ_code,bls_title,employment,loc_quotient,annual_mean,title,observed_exposure,nat_employment,nat_annual_mean,group,exposed_jobs,wage_bill,emp_23,emp_24,lq_23,chg,pct,family,replacement
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1680.0,0.91,32330.0,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.0734,432690,32690.0,Food Preparation & Serving,123.312,54314400.0,1560.0,1640.0,0.86,120.0,7.6923076923076925,Food Preparation & Serving,54.710961560026
49-9041,Industrial Machinery Mechanics,1900.0,1.02,69110.0,Industrial Machinery Mechanics,0.0239,439640,68460.0,Installation & Repair,45.41,131309000.0,1790.0,1900.0,1.02,110.0,6.145251396648045,Installation & Repair,116.95250706506022
29-2099,"Health Technologists and Technicians, All Other",820.0,1.05,55900.0,"Health Technologists and Technicians, All Other",0.0445,182610,58710.0,Healthcare Practitioners,36.49,45838000.0,710.0,580.0,0.98,110.0,15.492957746478874,Healthcare Practitioners,94.59767247774369
51-9111,Packaging and Filling Machine Operators and Tenders,1340.0,0.83,47120.0,Packaging and Filling Machine Operators and Tenders,0.0,379060,44590.0,Production,0.0,63140800.0,1230.0,1410.0,0.78,110.0,8.94308943089431,Production,79.73957651433422
21-1012,"Educational, Guidance, and Career Counselors and Advisors",1480.0,0.98,70100.0,"Educational, Guidance, and Career Counselors and Advisors",0.1182,353310,71430.0,Community & Social Service,174.936,103748000.0,1380.0,1470.0,0.99,100.0,7.246376811594203,Community & Social Service,118.62785045956767
29-1126,Respiratory Therapists,630.0,1.07,85780.0,Respiratory Therapists,0.0,139790,87300.0,Healthcare Practitioners,0.0,54041400.0,530.0,560.0,0.96,100.0,18.867924528301888,Healthcare Practitioners,145.16258220287753
49-9071,"Maintenance and Repair Workers, General",5520.0,0.85,52520.0,"Maintenance and Repair Workers, General",0.0,1529700,53780.0,Installation & Repair,0.0,289910400.0,5420.0,5320.0,0.85,100.0,1.845018450184502,Installation & Repair,88.87781321164755
11-3071,"Transportation, Storage, and Distribution Managers",630.0,0.67,129800.0,"Transportation, Storage, and Distribution Managers",0.0956,221180,121600.0,Management,60.228,81774000.0,530.0,560.0,0.63,100.0,18.867924528301888,Management,219.65613394653184
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",540.0,1.23,51410.0,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",0.0443,103190,53550.0,Personal Care & Service,23.922,27761400.0,440.0,490.0,1.16,100.0,22.727272727272727,Personal Care & Service,86.99939789053315
43-5031,Public Safety Telecommunicators,520.0,1.21,54660.0,Public Safety Telecommunicators,0.0465,102500,56740.0,Office & Administrative Support,24.18,28423200.0,420.0,440.0,1.02,100.0,23.80952380952381,Office & Administrative Support,92.49926256947174
