occ_code,bls_title,emp_23,lq_23,observed_exposure,emp_24,lq_24,emp_25,lq_25,pct,g
19-3039,"Psychologists, All Other",120.0,1.93,0.0,100.0,1.34,90.0,1.13,-25.0,19
19-3051,Urban and Regional Planners,250.0,1.38,0.0959,270.0,1.47,260.0,1.4,4.0,19
19-4021,Biological Technicians,360.0,1.09,0.0599,370.0,1.15,500.0,1.69,38.888888888888886,19
19-4031,Chemical Technicians,160.0,0.66,0.3148,210.0,0.89,360.0,1.47,125.0,19
19-4042,"Environmental Science and Protection Technicians, Including Health",180.0,1.33,0.1444,220.0,1.34,260.0,1.77,44.44444444444444,19
19-4061,Social Science Research Assistants,130.0,0.96,0.4393,100.0,0.75,120.0,0.95,-7.6923076923076925,19
19-4071,Forest and Conservation Technicians,30.0,0.26,0.0221,50.0,0.37,50.0,0.41,66.66666666666667,19
19-4092,Forensic Science Technicians,180.0,2.42,0.0,140.0,1.74,140.0,1.76,-22.22222222222222,19
19-4099,"Life, Physical, and Social Science Technicians, All Other",110.0,0.34,0.0955,140.0,0.47,110.0,0.36,0.0,19
19-5011,Occupational Health and Safety Specialists,720.0,1.39,0.0,720.0,1.32,690.0,1.15,-4.166666666666667,19
19-5012,Occupational Health and Safety Technicians,190.0,1.66,0.0,230.0,1.72,180.0,1.39,-5.2631578947368425,19
21-1012,"Educational, Guidance, and Career Counselors and Advisors",1380.0,0.99,0.1182,1470.0,1.02,1480.0,0.98,7.246376811594203,21
21-1021,"Child, Family, and School Social Workers",1460.0,0.97,0.0074,1420.0,0.87,1530.0,0.92,4.794520547945205,21
21-1022,Healthcare Social Workers,510.0,0.65,0.0916,470.0,0.59,530.0,0.67,3.9215686274509802,21
21-1023,Mental Health and Substance Abuse Social Workers,980.0,2.01,0.0,740.0,1.39,740.0,1.31,-24.489795918367346,21
21-1091,Health Education Specialists,160.0,0.67,0.1376,190.0,0.69,150.0,0.52,-6.25,21
21-1092,Probation Officers and Correctional Treatment Specialists,530.0,1.46,0.0,530.0,1.45,510.0,1.35,-3.7735849056603774,21
